Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ENGENHARIA MECÂNICA,15001016018P9,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,22001018054P5,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,3,-,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,23001011009P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,24001015010P3,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,3,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,25001019050P8,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,3,3,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,30001013011P7,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,31001017030P4,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,31003010036P9,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,5,5,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,31004016044P4,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,3,3,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,31005012012P1,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,7,7,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,32001010016P4,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,4,4,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,32003013002P6,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,MG,4,4,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,32006012002P5,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,7,7,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,32008015004P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC/MG,MG,4,4,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,33002010046P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,33002045011P8,"UNIVERSIDADE DE SÃO PAULO, SÃO CARLOS",USP-SC,SP,5,5,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,33003017022P0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,33004056080P8,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU",UNESP-BAURU,SP,4,4,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,33004080027P6,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, GUARATINGUETÁ",UNESP-GUAR,SP,4,4,-,-,ENGENHARIAS III
ENGENHARIA MECÂNICA,33004099082P2,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ILHA SOLTEIRA",UNESP-IS,SP,4,4,-,-,ENGENHARIAS III
