Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
CIÊNCIA DOS MATERIAIS,31007015006P4,INSTITUTO MILITAR DE ENGENHARIA,IME,RJ,6,6,-,-,ENGENHARIAS II
CIÊNCIA E ENGENHARIA DE MATERIAIS,15001016168P0,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,A,-,-,-,ENGENHARIAS II
CIÊNCIA E ENGENHARIA DE MATERIAIS,41002016001P9,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC,3,3,-,-,ENGENHARIAS II
CIÊNCIA E ENGENHARIA DE MATERIAIS,24009016014P0,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,5,5,-,-,ENGENHARIAS II
CIÊNCIA E ENGENHARIA DE MATERIAIS,27001016015P3,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,ENGENHARIAS II
CIÊNCIA E ENGENHARIA DE MATERIAIS,33144010023P0,UNIVERSIDADE FEDERAL DO ABC,UFABC,SP,3,-,-,-,ENGENHARIAS II
Ciência e Engenharia de Materiais,32011016008P3,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG,3,-,-,-,ENGENHARIAS II
Ciência e Engenharia de Materiais,41015010004P9,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,SC,4,4,-,-,ENGENHARIAS II
CIÊNCIA E ENGENHARIA DOS MATERIAIS,33001014004P9,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,7,7,-,-,ENGENHARIAS II
"CIÊNCIA E TECNOLOGIA DAS RADIAÇÕES, MINERAIS E MATERIAIS",32069014001P9,CENTRO DE DESENVOLVIMENTO DA TECNOLOGIA NUCLEAR,CDTN,MG,4,4,-,-,ENGENHARIAS II
CIÊNCIA E TECNOLOGIA DE MATERIAIS,31004016049P6,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,3,-,-,-,ENGENHARIAS II
CIÊNCIA E TECNOLOGIA DE POLÍMEROS,31001017008P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,ENGENHARIAS II
Ciência e Tecnologia Nucleares,31058019002P4,INSTITUTO DE ENGENHARIA NUCLEAR,IEN,RJ,3,-,-,-,ENGENHARIAS II
CIÊNCIAS TÉCNICAS NUCLEARES,32001010018P7,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,ENGENHARIAS II
DESENVOLVIMENTO DE PROCESSOS AMBIENTAIS,25002015005P9,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PE,4,-,-,-,ENGENHARIAS II
Engenharia da Nanotecnologia,31001017158P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,ENGENHARIAS II
ENGENHARIA DE BIOMATERIAIS E BIOPROCESSOS,33004030170P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARARAQUARA",UNESP-ARAR,SP,-,-,3,-,ENGENHARIAS II
ENGENHARIA DE MATERIAIS,15008010002P0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,PA,-,-,3,-,ENGENHARIAS II
ENGENHARIA DE MATERIAIS,20003013001P6,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,MA,3,-,-,-,ENGENHARIAS II
ENGENHARIA DE MATERIAIS,33002088001P4,ESCOLA DE ENGENHARIA DE LORENA,USP/EEL,SP,5,5,-,-,ENGENHARIAS II
ENGENHARIA DE MATERIAIS,32020015007P2,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET,MG,3,-,-,-,ENGENHARIAS II
Engenharia de Materiais,32003013009P0,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,MG,-,-,3,-,ENGENHARIAS II
Engenharia de Materiais,21003017001P9,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ",IFPI,PI,3,-,-,-,ENGENHARIAS II
ENGENHARIA DE MATERIAIS - UFOP - UEMG,32007019007P3,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,4,4,-,-,ENGENHARIAS II
ENGENHARIA DE MINAS,32020015011P0,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET,MG,-,-,A,-,ENGENHARIAS II
"ENGENHARIA DE MINAS, METALÚRGICA E DE MATERIAIS",42001013016P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,7,7,-,-,ENGENHARIAS II
ENGENHARIA DE PROCESSOS,41004019002P8,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,SC,3,-,-,-,ENGENHARIAS II
ENGENHARIA DE PROCESSOS,24009016010P4,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,-,3,-,-,ENGENHARIAS II
ENGENHARIA DE PROCESSOS,27002012001P9,UNIVERSIDADE TIRADENTES,UNIT-SE,SE,5,5,-,-,ENGENHARIAS II
ENGENHARIA DE PROCESSOS E TECNOLOGIAS,42008018009P0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,RS,4,4,-,-,ENGENHARIAS II
Engenharia de Processos Químicos e Bioquímicos,31001017136P7,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,3,-,ENGENHARIAS II
Engenharia de Processos Químicos e Bioquímicos,31001017037P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,ENGENHARIAS II
ENGENHARIA E CIÊNCIA  DOS MATERIAIS,31033016005P8,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,RJ,4,4,-,-,ENGENHARIAS II
ENGENHARIA E CIÊNCIA DE MATERIAIS,40005011002P1,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PR,4,4,-,-,ENGENHARIAS II
ENGENHARIA E TECNOLOGIA DE MATERIAIS,42005019025P7,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,5,5,-,-,ENGENHARIAS II
ENGENHARIA MATERIAIS E DE PROCESSOS QUÍMICOS E METALÚRGICOS,31005012013P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,5,5,-,-,ENGENHARIAS II
ENGENHARIA METALÚRGICA,31003010032P3,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,3,-,-,-,ENGENHARIAS II
ENGENHARIA METALÚRGICA,33002010048P2,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,ENGENHARIAS II
ENGENHARIA METALÚRGICA,41024010002P5,FACULDADE SATC,FASATC,SC,-,-,3,-,ENGENHARIAS II
ENGENHARIA METALÚRGICA E DE MATERIAIS,31001017031P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,ENGENHARIAS II
ENGENHARIA METALÚRGICA E DE MATERIAIS,30004012001P0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,ES,3,-,-,-,ENGENHARIAS II
ENGENHARIA METALÚRGICA E DE MINAS,32001010017P0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,ENGENHARIAS II
"ENGENHARIA METALÚRGICA, MATERIAIS E DE MINAS",32001010174P9,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,-,-,3,-,ENGENHARIAS II
ENGENHARIA MINERAL,33002010131P7,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,ENGENHARIAS II
ENGENHARIA MINERAL,32007019008P0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,4,4,-,-,ENGENHARIAS II
ENGENHARIA NUCLEAR,31001017033P3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,ENGENHARIAS II
ENGENHARIA NUCLEAR,31007015007P0,INSTITUTO MILITAR DE ENGENHARIA,IME,RJ,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUIMICA,32002017049P6,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUIMICA,42004012025P0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,31004016038P4,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,32001010044P8,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,32006012005P4,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,6,6,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,33001014006P1,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,7,7,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,31003010068P8,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,31002013014P5,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,31001017036P2,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,28001010021P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,27001016014P7,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,26001012022P7,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,4,4,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,25001019044P8,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,24009016004P4,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,3,3,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,23001011011P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,5,5,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,15001016010P8,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,22001018035P0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,6,6,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,40006018179P5,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,A,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,40006018177P2,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,33009015176P5,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,32036019004P3,UNIVERSIDADE DE UBERABA,UNIUBE,MG,-,-,3,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,32011016041P0,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,24001015076P4,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,33027013005P7,CENTRO UNIVERSITÁRIO FEI,FEI,SP,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,42001013058P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,6,6,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,41006011009P5,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,SC,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,41001010028P1,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,7,7,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,40015017006P9,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,UNIOESTE,PR,4,4,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,40004015003P1,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,6,6,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,40001016056P9,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4,4,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,33003017034P8,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,6,6,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,33002010053P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA,33002088002P0,ESCOLA DE ENGENHARIA DE LORENA,USP/EEL,SP,3,3,-,-,ENGENHARIAS II
Engenharia Química,42002010038P6,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,ENGENHARIAS II
Engenharia Química,30001013054P8,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,3,-,-,-,ENGENHARIAS II
Engenharia Química,52001016069P7,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,3,-,-,-,ENGENHARIAS II
Engenharia Química,32018010015P4,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,MG,3,-,-,-,ENGENHARIAS II
ENGENHARIA QUÍMICA - UFBA-UNIFACS,28001010059P7,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,ENGENHARIAS II
ENGENHARIA TÊXTIL,41001028001P8,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,A,-,-,-,ENGENHARIAS II
ENGENHARIA TÊXTIL,23001011176P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,ENGENHARIAS II
MATERIAIS PARA ENGENHARIA,32003013005P5,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,MG,3,3,-,-,ENGENHARIAS II
PROCESSOS INDUSTRIAIS,33083010004P6,INSTITUTO DE PESQUISAS TECNOLÓGICAS DO ESTADO DE SÃO PAULO,IPT,SP,-,-,3,-,ENGENHARIAS II
PROCESSOS QUÍMICOS E BIOTECNOLÓGICOS,40006018033P0,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,3,-,-,-,ENGENHARIAS II
