Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
SOCIOLOGIA,26001012013P8,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,4,-,-,-,SOCIOLOGIA
SOCIOLOGIA,42001013012P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,7,7,-,-,SOCIOLOGIA
Sociologia,40002012017P0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,SOCIOLOGIA
Sociologia,51005018015P7,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,3,-,-,-,SOCIOLOGIA
Sociologia,31003010075P4,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,SOCIOLOGIA
Sociologia,21001014030P6,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,-,-,-,SOCIOLOGIA
Sociologia,22003010009P2,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,4,4,-,-,SOCIOLOGIA
Sociologia,27001016011P8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,5,5,-,-,SOCIOLOGIA
SOCIOLOGIA E ANTROPOLOGIA,31001017020P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,SOCIOLOGIA
SOCIOLOGIA E ANTROPOLOGIA,15001016034P4,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,SOCIOLOGIA
Sociologia e Ciência Política,41001010018P6,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,SOCIOLOGIA
SOCIOLOGIA EM REDE NACIONAL,25016016039P8,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,-,-,3,-,SOCIOLOGIA
SOCIOLOGIA POLÍTICA,31033016017P6,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,RJ,4,4,-,-,SOCIOLOGIA
SOCIOLOGIA POLÍTICA,31032010010P9,UNIVERSIDADE CÂNDIDO MENDES,UCAM,RJ,3,-,-,-,SOCIOLOGIA
Sociologia Política,30011019005P9,UNIVERSIDADE VILA VELHA,UVV,ES,3,-,-,-,SOCIOLOGIA
