Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
AGRONOMIA,33004099079P1,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ILHA SOLTEIRA",UNESP-IS,SP,5,5,-,-,CIENCIAS AGRARIAS I
AGRONOMIA,32006012015P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,5,5,-,-,CIENCIAS AGRARIAS I
AGRONOMIA,24001031020P0,"UNIVERSIDADE FEDERAL DA PARAÍBA, AREIA",UFPB-AREIA,PB,5,5,-,-,CIENCIAS AGRARIAS I
Agronomia,51001012034P6,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,3,-,-,-,CIENCIAS AGRARIAS I
Agronomia,50001019034P3,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,CIENCIAS AGRARIAS I
AGRONOMIA - AGRICULTURA E AMBIENTE,42002010052P9,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,-,-,-,CIENCIAS AGRARIAS I
Agronomia - Agricultura Tropical,21001014007P4,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,3,-,-,CIENCIAS AGRARIAS I
AGRONOMIA ( MELHORAMENTO GENÉTICO DE PLANTAS),25003011015P0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,4,4,-,-,CIENCIAS AGRARIAS I
AGRONOMIA  PRODUÇÃO VEGETAL,25020013008P9,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,3,-,-,-,CIENCIAS AGRARIAS I
AGRONOMIA - Sustentabilidade na Agriculltura,51004011007P8,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS,3,-,-,-,CIENCIAS AGRARIAS I
AGRONOMIA (AGRICULTURA),33004064039P3,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,5,5,-,-,CIENCIAS AGRARIAS I
