Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ACONSELHAMENTO GENÉTICO E GENÔMICA HUMANA,33002010245P2,UNIVERSIDADE DE SÃO PAULO,USP,SP,-,-,4,-,CIÊNCIAS BIOLÓGICAS I
Análises Clínicas,15001016077P5,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,-,-,4,-,CIÊNCIAS BIOLÓGICAS I
BIOCIÊNCIAS,42015014010P1,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,4,4,-,-,CIÊNCIAS BIOLÓGICAS I
BIOCIÊNCIAS,31004016001P3,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,6,6,-,-,CIÊNCIAS BIOLÓGICAS I
Biociências,28001010089P3,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,3,-,-,-,CIÊNCIAS BIOLÓGICAS I
Biociências,33004153023P5,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DO RIO PRETO",UNESP-SJRP,SP,5,5,-,-,CIÊNCIAS BIOLÓGICAS I
BIOCIÊNCIAS E BIOTECNOLOGIA,31033016002P9,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,RJ,4,4,-,-,CIÊNCIAS BIOLÓGICAS I
Biociências e Biotecnologia,31010016025P6,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,FIOCRUZ,RJ,4,4,-,-,CIÊNCIAS BIOLÓGICAS I
BIOINFORMÁTICA,40006018037P6,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,3,-,-,-,CIÊNCIAS BIOLÓGICAS I
BIOINFORMÁTICA,40001016066P4,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,3,-,-,-,CIÊNCIAS BIOLÓGICAS I
BIOINFORMÁTICA,40001016175P8,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,-,A,-,-,CIÊNCIAS BIOLÓGICAS I
