Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
BIOCIÊNCIAS,40043010006P1,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,PR,4,-,-,-,CIÊNCIAS BIOLÓGICAS II
BIOCIÊNCIAS,15010015004P3,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,PA,3,-,-,-,CIÊNCIAS BIOLÓGICAS II
BIOLOGIA CELULAR E MOLECULAR,40001016007P8,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,CIÊNCIAS BIOLÓGICAS II
BIOLOGIA CELULAR E MOLECULAR,31010016004P9,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,FIOCRUZ,RJ,7,7,-,-,CIÊNCIAS BIOLÓGICAS II
Biologia Estrutural e Funcional,23001011070P3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,CIÊNCIAS BIOLÓGICAS II
BIOLOGIA FUNCIONAL E MOLECULAR,33003017040P8,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,6,6,-,-,CIÊNCIAS BIOLÓGICAS II
BIOMEDICINA TRANSLACIONAL,31035019005P0,UNIVERSIDADE DO GRANDE RIO - PROFESSOR JOSE DE SOUZA HERDY,UNIGRANRIO,RJ,4,4,-,-,CIÊNCIAS BIOLÓGICAS II
BIOQUÍMICA,33002029002P8,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,6,6,-,-,CIÊNCIAS BIOLÓGICAS II
BIOQUÍMICA,40004015078P1,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,A,A,-,-,CIÊNCIAS BIOLÓGICAS II
BIOQUÍMICA,22001018006P0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,5,5,-,-,CIÊNCIAS BIOLÓGICAS II
BIOQUÍMICA,23001011020P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,CIÊNCIAS BIOLÓGICAS II
