Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
BOTÂNICA,53001010112P6,UNIVERSIDADE DE BRASÍLIA,UNB,DF,A,A,-,-,BIODIVERSIDADE
BOTÂNICA,40001016004P9,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4,4,-,-,BIODIVERSIDADE
BOTÂNICA,42001013007P3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,BIODIVERSIDADE
BOTÂNICA,32002017021P4,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,5,5,-,-,BIODIVERSIDADE
BOTÂNICA APLICADA,32014015102P9,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG,A,-,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS,40002012019P2,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS,15002012004P4,MUSEU PARAENSE EMÍLIO GOELDI,MPEG,PA,4,4,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS,30001013014P6,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,BIODIVERSIDADE
Ciências Biológicas,12002011001P7,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,AM,4,4,-,-,BIODIVERSIDADE
Ciências Biológicas (Biodiversidade Neotropical),31021018014P2,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,4,4,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (BIOLOGIA VEGETAL),33004137005P6,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, RIO CLARO",UNESP-RC,SP,5,5,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (BOTÂNICA),31001017014P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (BOTÂNICA),12002011002P3,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,AM,4,4,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (BOTÂNICA),33004064025P2,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,5,5,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (BOTÂNICA),33002010018P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA),12002011004P6,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,AM,5,5,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA),40001016005P5,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),33004064012P8,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,6,6,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),33002010027P5,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),33004137003P3,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, RIO CLARO",UNESP-RC,SP,4,4,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),31001017019P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),32005016003P5,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,4,-,-,BIODIVERSIDADE
CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),24001015029P6,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,5,5,-,-,BIODIVERSIDADE
CONSERVAÇÃO DA BIODIVERSIDADE E DESENVOLVIMENTO SUSTENTÁVEL,33140014001P8,INSTITUTO DE PESQUISAS ECOLÓGICAS,IPÊ,SP,-,-,4,-,BIODIVERSIDADE
Conservação da Fauna,33001014048P6,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,-,-,3,-,BIODIVERSIDADE
CONSERVAÇÃO E USO DE RECURSOS NATURAIS,10001018041P7,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,A,-,-,-,BIODIVERSIDADE
Diversidade Biológica e Conservação nos Trópicos,26001012025P6,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,4,4,-,-,BIODIVERSIDADE
Diversidade Biológica e Recursos Naturais,22005013001P4,UNIVERSIDADE REGIONAL DO CARIRI,URCA,CE,3,-,-,-,BIODIVERSIDADE
ECOLOGIA,15001016087P0,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,BIODIVERSIDADE
ECOLOGIA,31001017096P5,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,BIODIVERSIDADE
ECOLOGIA,53001010008P4,UNIVERSIDADE DE BRASÍLIA,UNB,DF,6,6,-,-,BIODIVERSIDADE
ECOLOGIA,23001011015P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,6,6,-,-,BIODIVERSIDADE
ECOLOGIA,42010012004P0,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,RS,3,-,-,-,BIODIVERSIDADE
ECOLOGIA,42001013008P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,6,6,-,-,BIODIVERSIDADE
ECOLOGIA,25003011026P2,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,4,-,-,-,BIODIVERSIDADE
ECOLOGIA,41001010071P4,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,BIODIVERSIDADE
ECOLOGIA,33003017010P1,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,7,7,-,-,BIODIVERSIDADE
ECOLOGIA,33002010116P8,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,BIODIVERSIDADE
ECOLOGIA,32018010040P9,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,MG,3,-,-,-,BIODIVERSIDADE
ECOLOGIA,32005016012P4,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,3,3,-,-,BIODIVERSIDADE
Ecologia,32002017042P1,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,4,4,-,-,BIODIVERSIDADE
Ecologia,28001010082P9,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,-,4,-,BIODIVERSIDADE
ECOLOGIA APLICADA,32004010017P3,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,5,5,-,-,BIODIVERSIDADE
ECOLOGIA AQUÁTICA E PESCA,15001016052P2,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,5,5,-,-,BIODIVERSIDADE
ECOLOGIA (CONSERVAÇÃO E MANEJO DA VIDA SILVESTRE),32001010036P5,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,BIODIVERSIDADE
ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS,40004015005P4,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,6,6,-,-,BIODIVERSIDADE
ECOLOGIA DE BIOMAS TROPICAIS,32007019016P2,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,3,-,-,-,BIODIVERSIDADE
ECOLOGIA DE ECOSSISTEMAS,30011019001P3,UNIVERSIDADE VILA VELHA,UVV,ES,3,-,-,-,BIODIVERSIDADE
Ecologia e Biodiversidade,33004137067P1,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, RIO CLARO",UNESP-RC,SP,4,4,-,-,BIODIVERSIDADE
ECOLOGIA E CONSERVAÇÃO,50002015002P0,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT,4,4,-,-,BIODIVERSIDADE
ECOLOGIA E CONSERVAÇÃO,51001012005P6,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,6,6,-,-,BIODIVERSIDADE
ECOLOGIA E CONSERVAÇÃO,40001016048P6,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,6,6,-,-,BIODIVERSIDADE
ECOLOGIA E CONSERVAÇÃO,27001016017P6,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,BIODIVERSIDADE
Ecologia e Conservação,24004014011P9,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,PB,4,4,-,-,BIODIVERSIDADE
Ecologia e Conservação,23003014019P0,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,3,-,-,-,BIODIVERSIDADE
ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,50001019003P0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,5,5,-,-,BIODIVERSIDADE
